School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
1997/1998,Private,Red Deer College Alumni Association ,9066,,24,,,,,,,,,,,,,24
1997/1998,Private,Calgary Society for Christian Education ,9067,,35,32,40,52,50,72,49,73,61,56,46,45,36,647
1997/1998,Private,Christopher Robin School Ltd. ,9070,,27,23,29,30,,,,,,,,,,109
1997/1998,Private,The Canadian Montessori Association(1983) ,9071,,13,47,66,39,32,28,18,19,9,4,11,2,,288
1997/1998,Private,Strathcona-Tweedsmuir School ,9072,,,20,20,20,42,42,42,80,81,66,72,67,55,607
1997/1998,Private,"Language School of the German Canadian Club, Calgary ",9075,,,,,,,,,,,,,,3,3
1997/1998,Private,Canadian Reformed School Society of Neerlandia ,9078,,,16,10,10,8,15,25,16,13,20,17,6,11,167
1997/1998,Private,The Canadian Mission Board of the German Church of God of the Dominion of Canada ,9080,,,,,,,,,,,,,1,,1
1997/1998,Private,Canadian Reformed School Society of Edmonton ,9092,,13,12,15,9,22,20,11,16,18,12,13,21,12,194
1997/1998,Private,Grant MacEwan (ASN) ,9098,,7,,,,,,,,,,,,,7
1997/1998,Private,Millwoods Christian School ,9105,,20,41,23,37,27,24,26,34,26,26,30,28,16,358
1997/1998,Private,Heritage Christian Ministries ,9106,,75,75,77,77,74,68,57,52,46,41,32,25,30,729
1997/1998,Private,Foothills Academy Society ,9107,,,,,4,9,7,13,19,22,28,16,13,10,141
1997/1998,Private,Grande Prairie and District Society for Christian Education ,9109,,29,9,13,12,11,9,10,10,7,6,9,4,6,135
1997/1998,Private,Christian Education Association of Alberta ,9110,,16,13,16,15,12,20,17,13,11,18,,,,151
1997/1998,Private,Calvin Christian School Society of the Netherlands Reformed Congregations ,9112,4,61,60,56,57,47,39,42,47,35,33,23,27,21,552
1997/1998,Private,Strathcona Christian Academy Society ,9116,,49,54,51,52,54,56,60,60,60,59,50,45,60,710
1997/1998,Private,GCA Educational Society ,9118,,48,50,48,74,50,50,50,52,52,46,,,,520
1997/1998,Private,Lethbridge Christian School Society ,9120,,8,18,15,10,10,11,13,12,6,5,,,,108
1997/1998,Private,Word of Life School Society ,9127,,25,17,13,20,11,17,15,15,18,16,17,7,8,199
1997/1998,Private,The Calgary Society for Effective Education of Learning Disabled ,9131,53,,,,5,8,16,26,70,56,53,57,29,30,403
1997/1998,Private,The Dante Alighieri Society ,9134,,,,,,,,,,,,,2,2,4
1997/1998,Private,Medicine Hat Christian School ,9137,1,27,15,24,16,14,18,15,13,20,8,,,,171
1997/1998,Private,West Island College Society of Alberta ,9140,,,,,,,,,49,48,43,50,41,55,286
1997/1998,Private,Meadowlark Christian School ,9141,,27,38,39,35,37,37,37,30,24,31,,,,335
1997/1998,Private,"Evangelical Free Church of Champion, Alberta ",9146,,,11,11,14,25,11,13,12,14,9,8,9,4,141
1997/1998,Private,Congregation House of Jacob - Mikveh Israel ,9147,,16,11,14,13,10,6,6,11,,,,,,87
1997/1998,Private,Lesser Slave Lake North Country Community Association ,9152,,,1,4,2,2,1,4,5,3,3,1,1,4,31
1997/1998,Private,Edmonton Bible Heritage Christian School & College Society ,9153,,,,,,2,,1,,,,,,,3
1997/1998,Private,Countryside Christian School ,9154,,,2,7,4,5,3,5,4,4,2,,,,36
1997/1998,Private,Lakeland Church of God in Christ (Mennonite) of Dewberry ,9157,,,4,4,3,3,1,1,2,3,1,,,,22
1997/1998,Private,Lakeview Christian School ,9158,,,6,2,1,5,2,3,2,2,4,,,,27
1997/1998,Private,Kneehill Christian School ,9159,,,15,13,17,8,10,12,11,6,5,,,,97
1997/1998,Private,Northern Lights School Education Foundation ,9160,,,1,6,2,1,3,3,3,2,2,,,,23
1997/1998,Private,The Company of the Cross (Alberta) ,9162,,,,,,,,,7,20,20,33,16,11,107
1997/1998,Private,Apostolic Ch Training Sch ,9166,,8,7,7,5,5,11,7,12,8,9,6,7,2,94
1997/1998,Private,Ponoka Christian School Society ,9167,,11,10,12,12,9,13,9,13,12,12,,,,113
1997/1998,Private,Living Faith Evangelistic Association ,9168,,,1,2,2,,2,1,2,2,2,1,2,8,25
1997/1998,Private,Hillcrest Christian School Society ,9171,,4,2,4,4,5,,3,3,6,6,5,,,42
1997/1998,Private,Edmonton Academy Society for Learning Disabled ,9172,,,,,,,,,3,9,11,8,6,10,47
1997/1998,Private,Lycee Louis Pasteur Society ,9173,,27,26,22,26,15,12,14,11,11,10,,,,174
1997/1998,Private,Banbury Crossroads Private School ,9175,,3,1,1,2,2,1,2,1,,4,4,1,2,24
1997/1998,Private,Menno Simons Educational Society of Calgary ,9179,,7,10,7,12,18,9,15,14,21,17,,,,130
1997/1998,Private,Henderson Business College ,9184,,,,,,,,,,,,4,1,32,37
1997/1998,Private,Leduc Society for Christian Education ,9186,,11,20,13,10,11,14,15,23,13,22,,,,152
1997/1998,Private,Society for Christian Education in Southern Alberta 1997 ,9194,,7,15,13,19,8,12,7,20,12,19,,,,132
1997/1998,Private,St. Luke's Collegiate Institute Inc. ,9196,,,,,,,,,,,7,23,37,30,97
1997/1998,Private,Catholic Hungarian Association (Edmonton) ,9207,,,,,,,,,,,,,,1,1
1997/1998,Private,Koinonia Christian School - Red Deer Society ,9211,,20,45,44,29,38,36,23,31,19,15,9,12,5,326
1997/1998,Private,Olds Koinonia Christian School Society ,9213,,18,14,26,19,20,22,12,21,21,19,26,18,19,255
1997/1998,Private,Old Sun Community College ,9218,,,,,,,,,,,2,26,17,36,81
1997/1998,Private,Calgary Waldorf School Society ,9224,,28,33,25,28,23,23,14,16,15,12,,,,217
1997/1998,Private,Progressive Academy Education Society ,9225,6,14,5,5,1,4,6,2,4,2,2,3,,2,56
1997/1998,Private,Mayerthorpe Baptist Church ,9227,,,1,2,1,1,1,,,,3,,1,1,11
1997/1998,Private,Rundle College Society ,9230,,,,1,3,40,48,54,65,52,49,41,31,34,418
1997/1998,Private,Newell Christian School Society ,9250,,6,117,87,105,98,89,69,50,61,49,33,13,15,792
1997/1998,Private,Morinville Christian Fellowship ,9253,,,10,12,7,12,18,10,12,3,4,6,1,1,96
1997/1998,Private,The Rimbey Christian School Society ,9254,,14,16,12,11,12,14,18,7,17,16,10,8,7,162
1997/1998,Private,The Cornerstone Christian Academy of Camrose ,9256,,13,5,5,8,5,,10,8,6,12,7,6,8,93
1997/1998,Private,Red Crow Community College ,9261,,,,,,,9,,,,40,45,64,34,192
1997/1998,Private,Elves Special Needs Society ,9263,,22,10,6,7,,2,6,5,4,3,6,7,2,80
1997/1998,Private,Maranatha Christian Academy Fellowship ,9266,,5,3,4,3,1,1,1,,,,,,,18
1997/1998,Private,Edmonton Islamic School Society ,9269,,44,30,24,27,21,21,14,15,5,3,,,,204
1997/1998,Private,Airdrie Koinonia Christian School Society ,9270,,20,23,33,23,24,19,15,16,10,14,5,9,5,216
1997/1998,Private,Bosco Homes ,9272,,,,1,1,1,4,5,3,13,13,11,3,,55
1997/1998,Private,The Life Values Society For Effective Education ,9276,,14,,,,1,1,5,4,12,3,5,,,45
1997/1998,Private,Hellenic Society of Calgary and District ,9278,,,,,,,,,,,,,,1,1
1997/1998,Private,Montessori Elem Of Calgary ,9281,,12,18,9,13,10,12,,,,,,,,74
1997/1998,Private,Alberta Centre for Chinese Studies ,9284,,,,,,,,,,,,,,2,2
1997/1998,Private,Trinity Evangelical Lutheran Church ,9287,,,,,,,,,,,,,3,,3
1997/1998,Private,Central Alberta Christian High School Society ,9294,,,,,,,,,,,,40,41,24,105
1997/1998,Private,Columbia College Corp. ,9298,,,,,2,1,6,1,5,,5,4,2,3,29
1997/1998,Private,Manning Adult Learning Centre ,9299,,,,,3,1,,,2,1,1,12,1,,21
1997/1998,Private,40-Mile Christian Education Society ,9302,,15,10,11,12,15,9,10,11,10,7,1,,,111
1997/1998,Private,Maskwachees Cultural College Foundation ,9308,,,,,,,,,,,,63,6,5,74
1997/1998,Private,Lakeland Christian School Society ,9312,,3,,,4,1,,2,2,1,1,1,1,1,17
1997/1998,Private,Lighthouse Christian School Society ,9314,,3,5,2,4,5,8,4,6,3,2,4,2,1,49
1997/1998,Private,Greek Orthodox Community of Edmonton and District Society ,9315,,,,,,,,,,,,6,2,1,9
1997/1998,Private,Devon Christian School Society ,9319,,8,7,6,3,5,3,3,3,2,3,,,,43
1997/1998,Private,North Calgary Christian Academy Foundation ,9325,,15,14,14,15,13,7,11,12,5,15,10,7,16,154
1997/1998,Private,Olds Mountain View Christian School Association ,9328,,1,,2,,1,1,2,2,1,1,1,2,1,15
1997/1998,Private,Buffalo Creek Learning Center ,9330,,,4,18,6,19,20,12,11,3,4,12,5,,114
1997/1998,Private,Echo Valley Church of God in Christ Mennonite ,9331,,,2,4,3,2,1,,2,,,,,,14
1997/1998,Private,Calgary International College ,9332,,,,,,,,,5,2,5,10,8,12,42
1997/1998,Private,Banff Mtn Ski Academy Society ,9334,,,,,,,,,,,6,9,12,13,40
1997/1998,Private,The North and Central Peace Christian School Society ,9335,,,,1,1,1,2,2,2,4,3,,,,16
1997/1998,Private,Living Waters Christian  Academy ,9336,,12,12,10,7,5,5,7,5,8,7,,,,78
1997/1998,Private,Muslim Community Foundation of Calgary ,9337,,38,54,38,26,22,18,14,,,,,,,210
1997/1998,Private,Koinonia Christian Education Society ,9338,,10,12,11,13,18,17,8,16,7,12,2,3,5,134
1997/1998,Private,Almont Rose Centre for Learning ,9340,,,,,,,,,,,,2,3,3,8
1997/1998,Private,Equilibrium International Education Foundation ,9343,,,,,,,,,,,,61,15,66,142
1997/1998,Private,Brant Christian School Society ,9344,,8,10,6,14,9,10,11,17,8,8,3,,,104
1997/1998,Private,Universal Educational Institute of Canada ,9346,,10,6,6,4,10,4,5,4,4,2,1,,1,57
1997/1998,Private,Fort McMurray Christian School Society ,9349,,6,2,5,3,2,8,5,8,9,,,,,48
1997/1998,Private,Lucy Baker School Society ,9351,,,,,,,,,,7,6,,5,,18
1997/1998,Private,Edison School Society ,9352,,4,6,8,6,14,5,6,4,1,4,6,1,3,68
1997/1998,Private,Delta West Academy Society ,9353,,,3,2,2,6,3,7,7,6,7,8,6,3,60
1997/1998,Private,Cleardale Mennonite School Society ,9354,,,11,8,6,11,7,6,2,2,,,,,53
1997/1998,Private,Little Pony Private Institute of Fine Arts ,9356,,,,2,3,2,8,7,5,16,11,7,3,,64
1997/1998,Private,Chief Mountain School Society ,9358,,,,,1,1,1,1,1,,,,,,5
1997/1998,Private,The Learning Experience Society ,9363,,43,20,10,13,,,,,,,,,,86
1997/1998,Private,Educere Learning Society ,9364,,,,,,,,,,,,11,4,2,17
1997/1998,Private,The Edmonton Lutheran School Society ,9365,,6,7,5,6,7,5,7,9,4,6,,,,62
1997/1998,Private,Victory Christian School Society ,9366,,12,10,8,5,5,10,14,15,12,11,12,5,,119
1997/1998,Private,Prince of Peace Lutheran Church of Calgary ,9367,,14,15,21,16,15,24,15,24,17,16,15,7,,199
1997/1998,Private,Edelweiss Preparatory School Society ,9374,,27,,,,,,,,,,,,,27
1997/1998,Private,The Heartland Agency ,9375,,35,,,,,,,,,,,,,35
1997/1998,Private,GRIT Calgary Society ,9376,,30,,,,,,,,,,,,,30
1997/1998,Private,Clear Water Academy Foundation ,9379,,13,13,9,6,7,5,8,2,6,5,1,1,,76
1997/1998,Private,Alberta Conference of 7th Day Adventist Church ,9382,,18,76,61,75,74,55,69,65,68,62,22,17,8,670
1997/1998,Private,Alberta Charitable Society of St. Pius X ,9383,,9,6,11,3,8,6,7,2,9,3,5,4,1,74
1997/1998,Private,Diaspora Communications & Human Resources Institute Inc. ,9386,,,,,,,,,,,,6,6,11,23
1997/1998,Private,Coral Springs Child Care Society ,9388,,18,,,,,,,,,,,,,18
1997/1998,Private,Mirror ECS Society ,9392,,11,,,,,,,,,,,,,11
1997/1998,Private,Oliver School Center for Children ,9401,,18,,,,,,,,,,,,,18
1997/1998,Private,Renert Limited ,9402,,,,,,,,,,,,,,42,42
1997/1998,Private,Solomon Learning Institute ,9403,,,,,,,,,,,,1,,63,64
1997/1998,Private,Connections Canada College International ,9404,,,,,,,,,,,,54,2,,56
1997/1998,Private,Bethel Christian Academy Society ,9407,,1,1,4,5,2,5,5,4,2,4,,,,33
1997/1998,Private,Tabernacle of Praise Pentecostal Church ,9409,,2,1,4,2,,,3,3,4,5,1,,,25
1997/1998,Private,Innisfree and District Early Childhood Services Association ,9410,,13,,,,,,,,,,,,,13
1997/1998,Private,The Community Association for Lasting Success ,9412,,14,,,,,,,,,,,,,14
1997/1998,Private,The Canmore Society for Community Education ,9415,,7,4,7,4,4,,,,,,,,,26
1997/1998,Private,Riverview Montessori School Society ,9420,,9,5,7,7,6,,3,,,,,,,37
1997/1998,Private,High Level Christian Education Society ,9421,,7,14,9,7,7,5,6,4,5,1,,1,,66
1997/1998,Private,Berwyn Kindergarten Society ,9501,,20,,,,,,,,,,,,,20
1997/1998,Private,Dixonville Soc For ECS ,9503,,13,,,,,,,,,,,,,13
1997/1998,Private,Manning Kindergarten Assoc ,9506,,51,,,,,,,,,,,,,51
1997/1998,Private,Peace River Kindergarten Society ,9507,,17,,,,,,,,,,,,,17
1997/1998,Private,Blue Ridge Tiny Tots School ,9512,,4,,,,,,,,,,,,,4
1997/1998,Private,Darwell Early Childhood Education Services ,9513,,13,,,,,,,,,,,,,13
1997/1998,Private,Assoc For Hearing Handi ,9522,,12,,,,,,,,,,,,,12
1997/1998,Private,Department of Elementary Education University of Alberta ,9528,,44,,,,,,,,,,,,,44
1997/1998,Private,Dewberry Early Childhood Parents Society ,9529,,5,,,,,,,,,,,,,5
1997/1998,Private,Nampa and District Kindergarten Society ,9531,,10,,,,,,,,,,,,,10
1997/1998,Private,Kitscoty and District Early Childhood Education Kindergarten ,9539,,40,,,,,,,,,,,,,40
1997/1998,Private,Local Advisory Committee For Bluebird Kindergarten ,9542,,10,,,,,,,,,,,,,10
1997/1998,Private,Londonderry Child Development Society ,9543,,7,,,,,,,,,,,,,7
1997/1998,Private,First Mennonite Church ,9546,,13,,,,,,,,,,,,,13
1997/1998,Private,Norwood Community Service Centre ,9550,,30,,,,,,,,,,,,,30
1997/1998,Private,Pigeon Lake Regional Early Childhood Services Advisory ,9551,,20,,,,,,,,,,,,,20
1997/1998,Private,Rosebrier Early Childhood Services ,9553,,8,,,,,,,,,,,,,8
1997/1998,Private,St. Peter's Lutheran Kindergarten (Leduc) ,9559,,22,,,,,,,,,,,,,22
1997/1998,Private,Sherwood Park Kindergarten ,9562,,41,,,,,,,,,,,,,41
1997/1998,Private,Winfield Child Development Association ,9570,,19,,,,,,,,,,,,,19
1997/1998,Private,Bashaw Early Learning Centre ,9574,,14,,,,,,,,,,,,,14
1997/1998,Private,Big Valley ECS Soc ,9576,,15,,,,,,,,,,,,,15
1997/1998,Private,Caroline Early Childhood Centre Committee ,9581,,34,,,,,,,,,,,,,34
1997/1998,Private,Castor Early Childhood Society ,9582,,22,,,,,,,,,,,,,22
1997/1998,Private,Bawlf E.C.S. Society ,9583,,25,,,,,,,,,,,,,25
1997/1998,Private,Delburne ECS Society ,9588,,30,,,,,,,,,,,,,30
1997/1998,Private,Hardisty Early Childhood Services Society ,9596,,15,,,,,,,,,,,,,15
1997/1998,Private,Hay Lakes ECS ,9597,,22,,,,,,,,,,,,,22
1997/1998,Private,Early Childhood Services of Innisfail ,9598,,72,,,,,,,,,,,,,72
1997/1998,Private,Provost Pre-School ,9607,,52,,,,,,,,,,,,,52
1997/1998,Private,Rosalind Early Childhood Society ,9611,,17,,,,,,,,,,,,,17
1997/1998,Private,Sedgewick Early Childhood Centre ,9612,,16,,,,,,,,,,,,,16
1997/1998,Private,The Sunshiners Pre-School Association ,9616,,20,,,,,,,,,,,,,20
1997/1998,Private,Sylvan Lake Kinder-Care Association ,9617,,20,,,,,,,,,,,,,20
1997/1998,Private,Bearspaw Pre-School Society ,9626,,20,,,,,,,,,,,,,20
1997/1998,Private,Calgary French & International School Society ,9632,,56,40,39,51,40,39,29,,,,,,,294
1997/1998,Private,The Calgary Jewish Academy ,9633,,40,37,40,43,37,34,35,30,26,24,,,,346
1997/1998,Private,Churchill Park Day Care Soc ,9641,,10,,,,,,,,,,,,,10
1997/1998,Private,Dalhousie Community Association ,9647,,22,,,,,,,,,,,,,22
1997/1998,Private,Highwood Community E.C.S. Association ,9656,,14,,,,,,,,,,,,,14
1997/1998,Private,Hounsfield Heights-Briar Hill Community Association ,9657,,43,,,,,,,,,,,,,43
1997/1998,Private,Huntington Hills Community Association ,9658,,21,,,,,,,,,,,,,21
1997/1998,Private,Longview Early Ch Soc ,9660,,38,,,,,,,,,,,,,38
1997/1998,Private,Oyen ECS ,9666,,14,,,,,,,,,,,,,14
1997/1998,Private,Renfrew Educational Services Society ,9672,,402,22,16,16,8,,,,,,,,,464
1997/1998,Private,Glamorgan Community Early Childhood Services (E.C.S.) Institute ,9680,,68,,,,,,,,,,,,,68
1997/1998,Private,Turner Valley ECS ,9687,,17,,,,,,,,,,,,,17
1997/1998,Private,Barons Kindergarten Association ,9691,,5,,,,,,,,,,,,,5
1997/1998,Private,Captain Crunch College ,9693,,6,,,,,,,,,,,,,6
1997/1998,Private,Lethbridge Preschool Services Project ,9705,,25,,,,,,,,,,,,,25
1997/1998,Private,The Schuler Early Childhood Service ,9720,,7,,,,,,,,,,,,,7
1997/1998,Private,Warner ECS ,9725,,14,,,,,,,,,,,,,14
1997/1998,Private,Torrington ECS Kindergarten ,9731,,7,,,,,,,,,,,,,7
1997/1998,Private,Reed Ranch Limited ,9734,,6,,,,,,,,,,,,,6
1997/1998,Private,Camrose Children's Centre ,9743,,17,,,,,,,,,,,,,17
1997/1998,Private,Heisler E.C.S. Association ,9745,,10,,,,,,,,,,,,,10
1997/1998,Private,Lougheed Childhood Services Society ,9746,,10,,,,,,,,,,,,,10
1997/1998,Private,Nordic Community ECS Society ,9750,,30,,,,,,,,,,,,,30
1997/1998,Private,The Children's House Child Care Society ,9754,,16,,,,,,,,,,,,,16
1997/1998,Private,Thornhill Child Care Society ,9761,,13,,,,,,,,,,,,,13
1997/1998,Private,Duchess Early Childhood Development Organization ,9768,,32,,,,,,,,,,,,,32
1997/1998,Private,Cactus Country E.C.S. Association ,9771,,8,,,,,,,,,,,,,8
1997/1998,Private,Acadia Valley Early Childhood Services ,9783,,14,,,,,,,,,,,,,14
1997/1998,Private,A Spoonful of Sugar Early Childhood Education Association ,9787,,11,,,,,,,,,,,,,11
1997/1998,Private,Midway E.C.S. Society ,9793,,9,,,,,,,,,,,,,9
1997/1998,Private,Calgary Quest Children's Society ,9795,19,34,,,,,,,,,,,,,53
1997/1998,Private,Raymond Kindergarten Society ,9803,,82,,,,,,,,,,,,,82
1997/1998,Private,Colinton Community  ECS Society ,9804,,8,,,,,,,,,,,,,8
1997/1998,Private,Empress Early Childhood Services Society ,9807,,3,,,,,,,,,,,,,3
1997/1998,Private,Clandonald Public School ECS ,9809,,11,,,,,,,,,,,,,11
1997/1998,Private,Irricana E.C.S. Society ,9811,,10,,,,,,,,,,,,,10
1997/1998,Private,Youngstown Kindergarten Assoc. ,9812,,12,,,,,,,,,,,,,12
1997/1998,Private,Glenora Child Care Society ,9823,,20,,,,,,,,,,,,,20
1997/1998,Private,Red Deer Child Care Society ,9824,,17,,,,,,,,,,,,,17
1997/1998,Private,Providence Child Development Society ,9827,,92,,,,,,,,,,,,,92
1997/1998,Private,St. Albert Day Care Society ,9829,,12,,,,,,,,,,,,,12
1997/1998,Private,Students' Union of the University of Alberta and Community Day Care Centre Society ,9831,,9,,,,,,,,,,,,,9
1997/1998,Private,Cereal Early Childhood Service Association ,9832,,6,,,,,,,,,,,,,6
1997/1998,Private,Rocky Mountain ECS ,9837,,92,,,,,,,,,,,,,92
1997/1998,Private,Bonanza & District Kindergarten Society ,9838,,2,,,,,,,,,,,,,2
1997/1998,Private,Community Options - A Society for Children and Families ,9842,,40,,,,,,,,,,,,,40
1997/1998,Private,New Brigden Early Childhood Services Association ,9847,,9,,,,,,,,,,,,,9
1997/1998,Private,"Westview Baptist Church of Calgary, Alberta ",9848,,16,,,,,,,,,,,,,16
1997/1998,Private,Lotsa Tots Early Childhood Society ,9851,,8,,,,,,,,,,,,,8
1997/1998,Private,Jasper Place Child Care Society ,9852,,14,,,,,,,,,,,,,14
1997/1998,Private,Alliance & District ECS Society ,9853,,6,,,,,,,,,,,,,6
1997/1998,Private,Blue Quills Native Education Council ,9857,,,,,,,,,,,,,,62,62
1997/1998,Private,Westbrook (ECS) Association ,9858,,19,,,,,,,,,,,,,19
1997/1998,Private,Kathyrn E.C.S. Society ,9859,,7,,,,,,,,,,,,,7
1997/1998,Private,Henderson Lake Kindergarten Society ,9863,,11,,,,,,,,,,,,,11
1997/1998,Private,Sifton E.C.S. Society ,9864,,36,,,,,,,,,,,,,36
1997/1998,Private,Southview Kiddie Kampus Day Care Association ,9869,,53,,,,,,,,,,,,,53
1997/1998,Private,Didsbury Playgroup Society ,9871,,1,,,,,,,,,,,,,1
1997/1998,Private,Primrose Place Family Centre Association ,9872,,20,,,,,,,,,,,,,20
1997/1998,Private,West End Day Care Society ,9876,,12,,,,,,,,,,,,,12
1997/1998,Private,Mount Royal College Day-Care Society ,9878,,15,,,,,,,,,,,,,15
1997/1998,Private,Society For Treatment of Autism (Calgary Region) ,9879,,20,,,,,,,,,,,,,20
1997/1998,Private,Beverly Day Care Society & Family Resource Centre ,9881,,18,,,,,,,,,,,,,18
1997/1998,Private,Arrowwood and District E.C.S. Society ,9885,,7,,,,,,,,,,,,,7
1997/1998,Private,Aslan Kindergarten ,9886,,14,,,,,,,,,,,,,14
1997/1998,Private,Home Opp For Multi Hand Ed Soc ,9887,,49,,,,,,,,,,,,,49
1997/1998,Private,The PREP Program - A Calgary Society to Promote Education for Individuals with Down Syndrome ,9894,,18,,,,,,,,,,,,,18
1997/1998,Private,Froebel Kindergarten Society of Alberta ,9895,,10,8,10,,,,,,,,,,,28
1997/1998,Private,Golden Rule Pre-School E.C.S. Society ,9896,,19,,,,,,,,,,,,,19
1997/1998,Private,Champion Kindergarten Association ,9897,,10,,,,,,,,,,,,,10
1997/1998,Private,Indus ECS Kindergarten Society ,9898,,51,,,,,,,,,,,,,51
1997/1998,Private,Expression's ECS Society East ,9899,,6,,,,,,,,,,,,,6
1997/1998,Private,Rocky Mountain House French Immersion Kindergarten Society ,9900,,25,,,,,,,,,,,,,25
1997/1998,Private,Lethbridge Montessori Society ,9906,,13,,,,,,,,,,,,,13
1997/1998,Private,The Governing Council of the Salvation Army in Canada ,9907,,35,,,,,,,,,,,,,35
1997/1998,Private,ABC Head Start Society ,9909,,144,,,,,,,,,,,,,144
1997/1998,Private,Tulliby Lake Educational Foundation ,9910,,3,,,,,,,,,,,,,3
1997/1998,Private,Child's Way E.C.S. Association ,9911,,7,,,,,,,,,,,,,7
1997/1998,Private,Community Day Nursery ,9912,,13,,,,,,,,,,,,,13
1997/1998,Private,University Day Care Society ,9913,,17,,,,,,,,,,,,,17
1997/1998,Private,Young Men's Christian Association of Edmonton ,9915,,6,,,,,,,,,,,,,6
1997/1998,Private,Association for Christian Schooling in Calgary South ,9916,,26,41,38,33,36,17,15,6,6,3,2,1,2,226
1997/1998,Private,Islamic Institute of Education ,9920,,,,,,,,,7,14,11,14,6,,52
1997/1998,Private,Foothills Creative Beginnings Preschool and E.C.S. Association ,9924,,10,,,,,,,,,,,,,10
1997/1998,Private,Montessori School of Calgary ,9925,,28,6,4,1,,,,,,,,,,39
1997/1998,Private,Woodbine DayCare ECS Association ,9931,,10,,,,,,,,,,,,,10
1997/1998,Private,The Western Canadian District of the Christian & Missionary Alliance ,9933,,21,,,,,,,,,,,,,21
1997/1998,Private,Marlborough Day Nursery ECS Limited ,9934,,25,,,,,,,,,,,,,25
1997/1998,Private,Creative Children's Kindergarten Society ,9936,,10,,,,,,,,,,,,,10
1997/1998,Private,The Canadian Reformed School Society of Calgary ,9938,,,2,3,6,1,2,4,,1,,,,,19
1997/1998,Private,The Franciscan Sisters Benevolent Society ,9939,,29,,,,,,,,,,,,,29
1997/1998,Private,Providence Christian School Society ,9942,,3,6,4,12,7,9,8,2,7,3,,5,3,69
1997/1998,Private,Victory Christian Fellowship of Lethbridge (1983) Inc. ,9945,,25,,,,,,,,,,,,,25
1997/1998,Private,Trinity Christian School Association ,9946,,,112,102,87,82,110,84,87,80,55,43,32,27,901
1997/1998,Private,Cause and Effect Foundation ,9951,,13,,,,,,,,,,,,,13
1997/1998,Private,Chief Shot Both Sides Traditional Science Institute ,9959,,2,,,,,2,1,3,5,2,1,,,16
1997/1998,Provincial,Lethbridge Community College ,9117,,,,,,,,,,,,24,26,86,136
1997/1998,Provincial,Fairview College ,9122,,,,,,,,,,,,6,2,52,60
1997/1998,Provincial,Lakeland College ,9123,,,,,,,,,,,,,,10,10
1997/1998,Provincial,AVC Edmonton ,9216,,,,,,,,,,,,277,420,453,1150
1997/1998,Provincial,AVC Calgary ,9217,,,,,,,,,,,,219,215,221,655
1997/1998,Provincial,Olds College ,9236,,,,,,,,,,,,8,1,20,29
1997/1998,Provincial,AVC Lac La Biche ,9239,,,,,,,,,,,,270,,64,334
1997/1998,Provincial,AVC-Lesser Slave Lake ,9240,,,,,,,,,,,,177,127,138,442
1998/1999,Public,Clearview School Division No. 71 ,0052,,180,211,232,197,221,246,236,220,213,254,244,247,272,2973
1998/1999,Public,Chinook's Edge School Division No. 73 ,0053,,389,29,23,22,27,17,22,30,33,138,122,120,207,1179
1998/1999,Public,Wolf Creek School Division No. 72 ,0054,,455,85,85,73,92,80,91,32,35,37,35,69,94,1263
1998/1999,Public,Westwind School Division No. 74 ,0056,,211,366,311,340,340,366,340,399,345,395,339,393,320,4465
1998/1999,Public,Horizon School Division No. 67 ,1045,,212,290,302,287,300,311,307,293,282,251,243,230,211,3519
1998/1999,Public,Prairie Rose Regional Division No. 8 ,1055,,174,313,287,288,339,281,295,352,324,318,274,250,262,3757
1998/1999,Public,Peace River School Division No. 10 ,1070,,253,310,310,292,276,299,290,318,343,299,345,320,260,3915
1998/1999,Public,Grande Yellowhead Regional Division No. 35 ,1085,,520,512,465,474,506,458,482,474,488,508,601,592,702,6782
1998/1999,Public,Sturgeon School Division No. 24 ,1110,,387,359,341,354,386,390,381,382,378,343,352,361,479,4893
1998/1999,Public,Prairie Land Regional Division No. 25 ,1115,,125,171,171,185,166,162,198,176,149,183,151,159,144,2140
1998/1999,Public,Livingstone Range School Division No. 68 ,1135,1,290,385,348,388,381,370,401,394,462,410,411,397,430,5068
1998/1999,Public,Buffalo Trail Regional Division No. 28 ,1155,,253,359,389,413,426,394,380,456,410,445,404,394,386,5109
1998/1999,Public,Pembina Hills Regional Division No. 7 ,1175,,325,356,338,352,374,373,348,433,461,456,1041,942,1483,7282
1998/1999,Public,Foothills School Division No. 38 ,1180,,404,445,437,483,523,519,531,560,575,556,570,569,599,6771
1998/1999,Public,Rocky View School Division No. 41 ,1190,,680,927,959,916,993,1059,995,1123,1096,1092,1200,1043,1006,13089
1998/1999,Public,High Prairie School Division No. 48 ,1220,1,332,332,311,271,282,255,274,309,295,285,286,273,279,3785
1998/1999,Public,Northern Lights School Division No. 69 ,1245,,502,528,525,471,535,500,548,567,526,534,502,487,462,6687
1998/1999,Public,Fort Vermilion School Division No. 52 ,1250,,296,321,303,236,254,256,234,256,247,220,242,163,182,3210
1998/1999,Public,Northland School Division No. 61 ,1280,,106,350,341,251,263,242,244,238,235,176,143,66,70,2725
1998/1999,Public,Wild Rose School Division No. 66 ,1325,,359,419,415,382,431,420,470,396,440,465,471,465,489,5622
